"SALESORDERID","DELIVERYDATE","CREATIONDATE","LEADTIME","FULLNAME","PARTNERID","PRODUCTID","NETAMOUNT","TAXAMOUNT"
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","CC-1022",1050.0,150.0
"0500000013","2018-03-21","2018-02-02",47,"Nelson Wilkens","0100000031","RC-1051",2186.625,312.375
"0500000014","2018-03-15","2018-02-03",40,"Nelson Wilkens","0100000033","CB-1161",349.125,49.875
"0500000014","2018-03-15","2018-02-03",40,"Nelson Wilkens","0100000033","DB-1082",1093.75,156.25
"0500000014","2018-03-15","2018-02-03",40,"Nelson Wilkens","0100000033","DB-1081",1311.625,187.375
"0500000014","2018-03-15","2018-02-03",40,"Nelson Wilkens","0100000033","BX-1011",217.875,31.125
"0500000014","2018-03-15","2018-02-03",40,"Nelson Wilkens","0100000033","CC-1022",1050.0,150.0
"0500000014","2018-03-15","2018-02-03",40,"Nelson Wilkens","0100000033","CB-1162",350.0,50.0
"0500000015","2018-04-03","2018-02-04",58,"Janet Gray","0100000032","DB-1083",1049.125,149.875
"0500000015","2018-04-03","2018-02-04",58,"Janet Gray","0100000032","CB-1162",350.0,50.0
"0500000015","2018-04-03","2018-02-04",58,"Janet Gray","0100000032","MB-1033",3499.125,499.875
"0500000016","2018-03-07","2018-02-05",30,"Pénélope Duperré","0100000025","RC-1052",3499.125,499.875
"0500000016","2018-03-07","2018-02-05",30,"Pénélope Duperré","0100000025","BX-1012",349.125,49.875
"0500000016","2018-03-07","2018-02-05",30,"Pénélope Duperré","0100000025","RC-1052",3499.125,499.875
"0500000016","2018-03-07","2018-02-05",30,"Pénélope Duperré","0100000025","EB-1133",1968.75,281.25
"0500000016","2018-03-07","2018-02-05",30,"Pénélope Duperré","0100000025","EB-1132",1662.5,237.5
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","RC-1057",4374.125,624.875
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","DB-1083",1049.125,149.875
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","RC-1053",4024.125,574.875
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","DB-1081",1311.625,187.375
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","BX-1011",217.875,31.125
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","EB-1132",1662.5,237.5
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","RO-1001",459.375,65.625
"0500000017","2018-03-05","2018-02-06",27,"Carroll Pewitt","0100000030","RC-1054",4811.625,687.375
"0500000018","2018-03-28","2018-02-06",50,"Derrick Magill","0100000034","BX-1016",279.125,39.875
"0500000019","2018-04-01","2018-02-07",53,"Willard Chatman","0100000034","DB-1082",1093.75,156.25
"0500000019","2018-04-01","2018-02-07",53,"Willard Chatman","0100000034","RO-1001",459.375,65.625
"0500000019","2018-04-01","2018-02-07",53,"Willard Chatman","0100000034","DB-1083",1049.125,149.875
"0500000019","2018-04-01","2018-02-07",53,"Willard Chatman","0100000034","CB-1162",350.0,50.0
"0500000020","2018-03-22","2018-02-09",41,"Nelson Wilkens","0100000001","CC-1023",1190.875,170.125
"0500000020","2018-03-22","2018-02-09",41,"Nelson Wilkens","0100000001","EB-1136",4375.0,625.0
"0500000020","2018-03-22","2018-02-09",41,"Nelson Wilkens","0100000001","MB-1033",3499.125,499.875
"0500000021","2018-04-11","2018-02-09",61,"Roberta Holloway","0100000001","HB-1174",331.625,47.375
"0500000022","2018-03-30","2018-02-10",48,"Ellis Robertson","0100000011","EB-1132",1662.5,237.5
"0500000022","2018-03-30","2018-02-10",48,"Ellis Robertson","0100000011","DB-1082",1093.75,156.25
"0500000023","2018-03-23","2018-02-13",38,"Ellis Robertson","0100000012","CB-1163",252.0,36.0
"0500000023","2018-03-23","2018-02-13",38,"Ellis Robertson","0100000012","HB-1176",1049.125,149.875
"0500000023","2018-03-23","2018-02-13",38,"Ellis Robertson","0100000012","RC-1053",4024.125,574.875
"0500000023","2018-03-23","2018-02-13",38,"Ellis Robertson","0100000012","DB-1083",1049.125,149.875
"0500000023","2018-03-23","2018-02-13",38,"Ellis Robertson","0100000012","EB-1132",1662.5,237.5
"0500000023","2018-03-23","2018-02-13",38,"Ellis Robertson","0100000012","RC-1051",2186.625,312.375
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","HB-1172",699.125,99.875
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","CC-1023",1190.875,170.125
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","BX-1013",392.875,56.125
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","CC-1021",1001.0,143.0
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","RC-1056",2186.625,312.375
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","EB-1135",2625.0,375.0
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","CC-1023",1190.875,170.125
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","CC-1022",1050.0,150.0
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","CC-1023",1190.875,170.125
"0500000024","2018-04-02","2018-02-13",48,"William Mussen","0100000015","MB-1034",2186.625,312.375
"0500000025","2018-03-25","2018-02-14",39,"Philipp Egger","0100000010","RC-1056",2186.625,312.375
"0500000025","2018-03-25","2018-02-14",39,"Philipp Egger","0100000010","HB-1173",567.875,81.125
"0500000025","2018-03-25","2018-02-14",39,"Philipp Egger","0100000010","RO-1003",630.875,90.125
"0500000025","2018-03-25","2018-02-14",39,"Philipp Egger","0100000010","BX-1013",392.875,56.125
"0500000025","2018-03-25","2018-02-14",39,"Philipp Egger","0100000010","MB-1034",2186.625,312.375
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","DB-1081",1311.625,187.375
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","DB-1083",1049.125,149.875
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","BX-1013",392.875,56.125
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","HB-1175",786.625,112.375
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","BX-1011",217.875,31.125
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","RC-1056",2186.625,312.375
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","EB-1136",4375.0,625.0
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","HB-1175",786.625,112.375
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","CC-1023",1190.875,170.125
"0500000026","2018-04-12","2018-02-15",56,"Philipp Egger","0100000012","CB-1161",349.125,49.875
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","HB-1171",611.625,87.375
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","RC-1052",3499.125,499.875
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","RC-1055",1749.125,249.875
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","HB-1171",611.625,87.375
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","CB-1163",252.0,36.0
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","BX-1014",699.125,99.875
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","CB-1161",349.125,49.875
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","EB-1133",1968.75,281.25
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","EB-1132",1662.5,237.5
"0500000027","2018-04-20","2018-02-18",61,"Javas Hegde","0100000016","RC-1052",3499.125,499.875
"0500000028","2018-03-30","2018-02-19",39,"William Mussen","0100000019","EB-1136",4375.0,625.0
"0500000028","2018-03-30","2018-02-19",39,"William Mussen","0100000019","MB-1033",3499.125,499.875
"0500000028","2018-03-30","2018-02-19",39,"William Mussen","0100000019","CC-1023",1190.875,170.125
"0500000028","2018-03-30","2018-02-19",39,"William Mussen","0100000019","RO-1003",630.875,90.125
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","HB-1172",699.125,99.875
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","BX-1014",699.125,99.875
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","RC-1054",4811.625,687.375
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","BX-1013",392.875,56.125
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","EB-1132",1662.5,237.5
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","EB-1133",1968.75,281.25
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","RO-1001",459.375,65.625
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","HB-1172",699.125,99.875
"0500000029","2018-04-02","2018-02-20",41,"Javas Hegde","0100000020","CC-1022",1050.0,150.0
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","HB-1173",567.875,81.125
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","EB-1134",4200.0,600.0
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","BX-1013",392.875,56.125
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","RO-1003",630.875,90.125
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","HB-1173",567.875,81.125
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","HB-1174",331.625,47.375
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","DB-1082",1093.75,156.25
"0500000030","2018-03-25","2018-02-22",31,"Pénélope Duperré","0100000028","EB-1133",1968.75,281.25
"0500000031","2018-04-08","2018-02-23",44,"Philipp Egger","0100000011","CC-1021",1001.0,143.0
"0500000031","2018-04-08","2018-02-23",44,"Philipp Egger","0100000011","CB-1163",252.0,36.0
"0500000031","2018-04-08","2018-02-23",44,"Philipp Egger","0100000011","RC-1053",4024.125,574.875
"0500000031","2018-04-08","2018-02-23",44,"Philipp Egger","0100000011","BX-1012",349.125,49.875
"0500000031","2018-04-08","2018-02-23",44,"Philipp Egger","0100000011","RO-1003",630.875,90.125
"0500000031","2018-04-08","2018-02-23",44,"Philipp Egger","0100000011","DB-1083",1049.125,149.875
"0500000031","2018-04-08","2018-02-23",44,"Philipp Egger","0100000011","HB-1171",611.625,87.375
"0500000032","2018-04-19","2018-02-23",55,"Kirk Lee","0100000030","HB-1174",331.625,47.375
"0500000032","2018-04-19","2018-02-23",55,"Kirk Lee","0100000030","RO-1002",602.875,86.125
"0500000032","2018-04-19","2018-02-23",55,"Kirk Lee","0100000030","EB-1134",4200.0,600.0
"0500000032","2018-04-19","2018-02-23",55,"Kirk Lee","0100000030","CB-1163",252.0,36.0
"0500000032","2018-04-19","2018-02-23",55,"Kirk Lee","0100000030","RC-1056",2186.625,312.375
"0500000032","2018-04-19","2018-02-23",55,"Kirk Lee","0100000030","BX-1012",349.125,49.875
"0500000032","2018-04-19","2018-02-23",55,"Kirk Lee","0100000030","EB-1132",1662.5,237.5
"0500000033","2018-04-01","2018-02-24",36,"William Mussen","0100000023","MB-1033",3499.125,499.875
"0500000033","2018-04-01","2018-02-24",36,"William Mussen","0100000023","EB-1131",1312.5,187.5
"0500000033","2018-04-01","2018-02-24",36,"William Mussen","0100000023","HB-1176",1049.125,149.875
"0500000033","2018-04-01","2018-02-24",36,"William Mussen","0100000023","RC-1052",3499.125,499.875
"0500000034","2018-05-04","2018-02-27",66,"William Mussen","0100000021","BX-1015",261.625,37.375
"0500000034","2018-05-04","2018-02-27",66,"William Mussen","0100000021","DB-1082",1093.75,156.25
"0500000034","2018-05-04","2018-02-27",66,"William Mussen","0100000021","RC-1052",3499.125,499.875
"0500000034","2018-05-04","2018-02-27",66,"William Mussen","0100000021","HB-1175",786.625,112.375
"0500000034","2018-05-04","2018-02-27",66,"William Mussen","0100000021","CC-1022",1050.0,150.0
"0500000035","2018-04-30","2018-03-01",60,"Kenneth Weise","0100000004","EB-1137",6912.5,987.5
"0500000035","2018-04-30","2018-03-01",60,"Kenneth Weise","0100000004","EB-1132",1662.5,237.5
"0500000035","2018-04-30","2018-03-01",60,"Kenneth Weise","0100000004","EB-1134",4200.0,600.0
"0500000035","2018-04-30","2018-03-01",60,"Kenneth Weise","0100000004","RC-1056",2186.625,312.375
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","HB-1172",699.125,99.875
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","EB-1137",6912.5,987.5
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","CB-1163",252.0,36.0
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","RC-1057",4374.125,624.875
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","CB-1162",350.0,50.0
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","EB-1136",4375.0,625.0
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","HB-1171",611.625,87.375
"0500000036","2018-04-14","2018-03-02",43,"Philipp Egger","0100000010","BX-1016",279.125,39.875
"0500000037","2018-05-07","2018-03-03",65,"Pénélope Duperré","0100000038","BX-1015",261.625,37.375
"0500000037","2018-05-07","2018-03-03",65,"Pénélope Duperré","0100000038","DB-1081",1311.625,187.375
"0500000037","2018-05-07","2018-03-03",65,"Pénélope Duperré","0100000038","BX-1016",279.125,39.875
"0500000038","2018-05-01","2018-03-04",58,"Kirk Lee","0100000001","EB-1132",1662.5,237.5
"0500000038","2018-05-01","2018-03-04",58,"Kirk Lee","0100000001","EB-1136",4375.0,625.0
"0500000038","2018-05-01","2018-03-04",58,"Kirk Lee","0100000001","BX-1013",392.875,56.125
"0500000039","2018-04-24","2018-03-05",50,"Philipp Egger","0100000007","RC-1054",4811.625,687.375
"0500000039","2018-04-24","2018-03-05",50,"Philipp Egger","0100000007","EB-1133",1968.75,281.25
"0500000040","2018-05-05","2018-03-06",60,"Pénélope Duperré","0100000005","EB-1135",2625.0,375.0
"0500000040","2018-05-05","2018-03-06",60,"Pénélope Duperré","0100000005","CB-1163",252.0,36.0
"0500000040","2018-05-05","2018-03-06",60,"Pénélope Duperré","0100000005","EB-1134",4200.0,600.0
"0500000040","2018-05-05","2018-03-06",60,"Pénélope Duperré","0100000005","CB-1161",349.125,49.875
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","BX-1014",699.125,99.875
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","BX-1016",279.125,39.875
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","CB-1161",349.125,49.875
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","DB-1082",1093.75,156.25
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","BX-1015",261.625,37.375
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","EB-1136",4375.0,625.0
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","BX-1015",261.625,37.375
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","HB-1174",331.625,47.375
"0500000041","2018-05-01","2018-03-07",55,"Pénélope Duperré","0100000009","RO-1003",630.875,90.125
"0500000042","2018-04-21","2018-03-10",42,"Haseena al Yousuf","0100000025","BX-1013",392.875,56.125
"0500000042","2018-04-21","2018-03-10",42,"Haseena al Yousuf","0100000025","DB-1081",1311.625,187.375
"0500000042","2018-04-21","2018-03-10",42,"Haseena al Yousuf","0100000025","DB-1081",1311.625,187.375
"0500000042","2018-04-21","2018-03-10",42,"Haseena al Yousuf","0100000025","EB-1132",1662.5,237.5
"0500000042","2018-04-21","2018-03-10",42,"Haseena al Yousuf","0100000025","CB-1161",349.125,49.875
"0500000042","2018-04-21","2018-03-10",42,"Haseena al Yousuf","0100000025","HB-1173",567.875,81.125
"0500000043","2018-04-25","2018-03-11",45,"Haseena al Yousuf","0100000039","EB-1135",2625.0,375.0
"0500000043","2018-04-25","2018-03-11",45,"Haseena al Yousuf","0100000039","HB-1176",1049.125,149.875
"0500000043","2018-04-25","2018-03-11",45,"Haseena al Yousuf","0100000039","EB-1131",1312.5,187.5
"0500000043","2018-04-25","2018-03-11",45,"Haseena al Yousuf","0100000039","CB-1161",349.125,49.875
"0500000043","2018-04-25","2018-03-11",45,"Haseena al Yousuf","0100000039","RO-1002",602.875,86.125
"0500000044","2018-04-29","2018-03-14",46,"William Mussen","0100000021","BX-1016",279.125,39.875
"0500000044","2018-04-29","2018-03-14",46,"William Mussen","0100000021","BX-1011",217.875,31.125
"0500000044","2018-04-29","2018-03-14",46,"William Mussen","0100000021","BX-1013",392.875,56.125
"0500000045","2018-05-07","2018-03-16",52,"Philipp Egger","0100000014","EB-1135",2625.0,375.0
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","BX-1014",699.125,99.875
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","CB-1163",252.0,36.0
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","RC-1054",4811.625,687.375
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","BX-1012",349.125,49.875
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","EB-1135",2625.0,375.0
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","RC-1055",1749.125,249.875
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","HB-1174",331.625,47.375
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","CB-1161",349.125,49.875
"0500000046","2018-05-08","2018-03-19",50,"William Mussen","0100000024","BX-1013",392.875,56.125
"0500000047","2018-05-03","2018-03-20",44,"Pénélope Duperré","0100000038","CC-1021",1001.0,143.0
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","DB-1081",1311.625,187.375
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","RO-1003",630.875,90.125
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","CB-1163",252.0,36.0
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","RC-1055",1749.125,249.875
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","DB-1083",1049.125,149.875
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","BX-1011",217.875,31.125
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","MB-1032",1136.625,162.375
"0500000048","2018-05-05","2018-03-21",45,"Haseena al Yousuf","0100000014","CC-1021",1001.0,143.0
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","CB-1161",349.125,49.875
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","BX-1011",217.875,31.125
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","HB-1172",699.125,99.875
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","BX-1011",217.875,31.125
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","DB-1081",1311.625,187.375
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","RC-1057",4374.125,624.875
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","DB-1081",1311.625,187.375
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","BX-1015",261.625,37.375
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","BX-1011",217.875,31.125
"0500000049","2018-05-18","2018-03-21",58,"Pénélope Duperré","0100000009","RC-1057",4374.125,624.875
"0500000050","2018-05-12","2018-03-24",49,"William Mussen","0100000020","DB-1083",1049.125,149.875
